Order ID,Date,Month,Month_Num,Quarter,Category,Product,Unit Price,Quantity,Discount,Revenue,Profit,Region,City,Channel,Customer Segment,Customer ID
ORD-10000,2024-11-23,Nov,11,Q4,Technology,Webcam HD,76.14,6,0.0,456.84,239.56,North,Detroit,Online,Enterprise,CUST-4811
ORD-10001,2024-09-15,Sep,9,Q3,Office Supplies,Stapler Pro,40.48,1,0.1,36.43,16.22,West,Seattle,Wholesale,Enterprise,CUST-3615
ORD-10002,2024-12-23,Dec,12,Q4,Furniture,Bookshelf 5-Tier,102.99,4,0.2,329.57,153.53,North,Detroit,Online,Consumer,CUST-5333
ORD-10003,2024-01-23,Jan,1,Q1,Office Supplies,Ballpoint Pens (24pk),17.73,2,0.0,35.46,14.61,East,New York,In-Store,Enterprise,CUST-4733
ORD-10004,2024-05-28,May,5,Q2,Clothing,Casual Sneakers,128.32,2,0.0,256.64,112.06,East,New York,Online,Enterprise,CUST-5374
ORD-10005,2024-12-25,Dec,12,Q4,Clothing,Formal Tie,21.57,4,0.05,81.97,34.14,South,Houston,In-Store,SMB,CUST-4598
ORD-10006,2024-12-16,Dec,12,Q4,Technology,"Laptop Pro 15""",990.62,3,0.0,2971.86,1400.15,East,New York,Online,Government,CUST-6155
ORD-10007,2024-04-18,Apr,4,Q2,Office Supplies,Whiteboard 4x3,139.77,3,0.05,398.34,204.86,South,Houston,In-Store,SMB,CUST-8019
ORD-10008,2024-10-25,Oct,10,Q4,Furniture,Standing Desk,897.66,1,0.0,897.66,382.96,North,Chicago,Online,Enterprise,CUST-7916
ORD-10009,2024-11-01,Nov,11,Q4,Technology,"Monitor 27""",477.77,3,0.0,1433.31,698.23,North,Chicago,In-Store,SMB,CUST-5371
ORD-10010,2024-11-24,Nov,11,Q4,Technology,Webcam HD,89.43,6,0.0,536.58,167.17,East,New York,In-Store,Enterprise,CUST-5889
ORD-10011,2024-11-23,Nov,11,Q4,Furniture,Standing Desk,475.42,3,0.1,1283.63,532.91,North,Detroit,In-Store,Enterprise,CUST-6947
ORD-10012,2024-06-06,Jun,6,Q2,Technology,USB-C Hub,82.9,1,0.15,70.47,37.25,West,LA,Direct Sales,SMB,CUST-3060
ORD-10013,2024-03-06,Mar,3,Q1,Office Supplies,Sticky Notes Bulk,20.3,3,0.15,51.77,23.0,South,Houston,In-Store,SMB,CUST-7118
ORD-10014,2024-08-12,Aug,8,Q3,Clothing,Wool Sweater,78.68,4,0.0,314.72,146.5,South,Houston,Online,Consumer,CUST-1964
ORD-10015,2024-04-27,Apr,4,Q2,Technology,"Laptop Pro 15""",1242.85,4,0.0,4971.4,2438.47,West,LA,In-Store,Consumer,CUST-8744
ORD-10016,2024-05-04,May,5,Q2,Office Supplies,Whiteboard 4x3,84.23,1,0.0,84.23,37.25,West,Seattle,In-Store,Consumer,CUST-2612
ORD-10017,2024-02-01,Feb,2,Q1,Furniture,Bookshelf 5-Tier,161.05,1,0.0,161.05,80.86,West,LA,Online,SMB,CUST-5092
ORD-10018,2024-02-08,Feb,2,Q1,Furniture,Desk Lamp,43.9,2,0.05,83.41,34.6,North,Chicago,Direct Sales,Consumer,CUST-3724
ORD-10019,2024-07-27,Jul,7,Q3,Furniture,Standing Desk,831.33,2,0.15,1413.26,719.12,North,Detroit,Online,Consumer,CUST-8454
ORD-10020,2024-05-26,May,5,Q2,Furniture,Monitor Stand,128.63,3,0.05,366.6,135.79,South,Houston,Online,Government,CUST-9883
ORD-10021,2024-02-01,Feb,2,Q1,Office Supplies,Notebook Pack,12.85,3,0.0,38.55,12.34,South,Houston,Direct Sales,Enterprise,CUST-4044
ORD-10022,2024-02-05,Feb,2,Q1,Office Supplies,Stapler Pro,31.11,1,0.15,26.44,10.78,North,Chicago,Online,SMB,CUST-9565
ORD-10023,2024-06-10,Jun,6,Q2,Clothing,Casual Sneakers,112.58,3,0.0,337.74,163.33,South,Atlanta,In-Store,Government,CUST-2188
ORD-10024,2024-01-05,Jan,1,Q1,Furniture,Desk Lamp,88.8,2,0.0,177.6,88.22,East,New York,Direct Sales,Consumer,CUST-5002
ORD-10025,2024-07-08,Jul,7,Q3,Technology,Gaming Mouse,90.02,3,0.1,243.05,96.51,North,Detroit,Direct Sales,Enterprise,CUST-3200
ORD-10026,2024-05-15,May,5,Q2,Technology,Wireless Headphones,168.09,5,0.0,840.45,403.05,South,Atlanta,Online,Consumer,CUST-5325
ORD-10027,2024-09-15,Sep,9,Q3,Furniture,Ergonomic Chair,281.3,1,0.0,281.3,135.26,North,Detroit,Wholesale,Consumer,CUST-5291
ORD-10028,2024-03-23,Mar,3,Q1,Office Supplies,Whiteboard 4x3,113.87,1,0.0,113.87,35.73,South,Houston,Wholesale,SMB,CUST-3426
ORD-10029,2024-08-08,Aug,8,Q3,Technology,Webcam HD,84.53,4,0.15,287.4,88.22,North,Detroit,Online,Enterprise,CUST-2684
ORD-10030,2024-06-30,Jun,6,Q2,Office Supplies,Whiteboard 4x3,146.91,3,0.1,396.66,126.36,South,Houston,Direct Sales,Consumer,CUST-7755
ORD-10031,2024-01-13,Jan,1,Q1,Technology,Smart Speaker,127.24,1,0.0,127.24,48.67,South,Atlanta,Online,Consumer,CUST-7267
ORD-10032,2024-01-20,Jan,1,Q1,Clothing,Casual Sneakers,74.97,5,0.15,318.62,147.39,South,Houston,Online,Enterprise,CUST-6378
ORD-10033,2024-05-22,May,5,Q2,Clothing,Work Trousers,70.07,3,0.05,199.7,75.91,East,New York,Online,Government,CUST-3925
ORD-10034,2024-10-24,Oct,10,Q4,Clothing,Work Trousers,51.3,4,0.05,194.94,90.37,East,Boston,In-Store,SMB,CUST-7311
ORD-10035,2024-10-22,Oct,10,Q4,Technology,"Laptop Pro 15""",1182.51,2,0.0,2365.02,753.51,South,Atlanta,Online,Government,CUST-6409
ORD-10036,2024-11-15,Nov,11,Q4,Technology,Wireless Headphones,165.37,1,0.0,165.37,78.17,West,Seattle,Online,SMB,CUST-3085
ORD-10037,2024-04-08,Apr,4,Q2,Furniture,Filing Cabinet,250.6,4,0.15,852.04,337.51,East,Boston,In-Store,Enterprise,CUST-5700
ORD-10038,2024-04-17,Apr,4,Q2,Furniture,Desk Lamp,69.33,4,0.0,277.32,121.9,South,Atlanta,Wholesale,Government,CUST-3780
ORD-10039,2024-12-03,Dec,12,Q4,Technology,Smart Speaker,58.34,1,0.2,46.67,22.93,East,New York,Wholesale,Enterprise,CUST-1757
ORD-10040,2024-05-05,May,5,Q2,Clothing,Leather Belt,58.99,2,0.0,117.98,52.67,South,Atlanta,In-Store,Enterprise,CUST-1090
ORD-10041,2024-02-24,Feb,2,Q1,Office Supplies,Stapler Pro,24.28,2,0.2,38.85,16.34,North,Chicago,Direct Sales,Enterprise,CUST-3184
ORD-10042,2024-08-25,Aug,8,Q3,Office Supplies,Label Maker,67.0,6,0.15,341.7,135.6,West,Seattle,Wholesale,Consumer,CUST-8777
ORD-10043,2024-08-18,Aug,8,Q3,Technology,USB-C Hub,80.99,6,0.0,485.94,172.79,West,LA,Online,Enterprise,CUST-5681
ORD-10044,2024-04-30,Apr,4,Q2,Technology,Smart Speaker,138.3,3,0.0,414.9,212.55,West,LA,In-Store,Enterprise,CUST-7678
ORD-10045,2024-06-18,Jun,6,Q2,Furniture,Filing Cabinet,158.34,2,0.1,285.01,129.0,North,Detroit,In-Store,Government,CUST-5892
ORD-10046,2024-07-18,Jul,7,Q3,Clothing,Wool Sweater,112.06,3,0.1,302.56,105.91,South,Atlanta,Online,SMB,CUST-1475
ORD-10047,2024-07-18,Jul,7,Q3,Technology,"Monitor 27""",516.25,3,0.1,1393.88,446.2,North,Detroit,In-Store,Consumer,CUST-2375
ORD-10048,2024-11-25,Nov,11,Q4,Furniture,Filing Cabinet,176.26,1,0.0,176.26,82.52,West,Seattle,Online,Consumer,CUST-5558
ORD-10049,2024-08-03,Aug,8,Q3,Technology,Wireless Headphones,135.44,7,0.1,853.27,458.19,East,New York,In-Store,Consumer,CUST-1659
ORD-10050,2024-01-16,Jan,1,Q1,Clothing,Casual Sneakers,126.14,1,0.05,119.83,58.76,West,LA,In-Store,Enterprise,CUST-5198
ORD-10051,2024-07-07,Jul,7,Q3,Technology,Wireless Headphones,172.34,6,0.0,1034.04,488.32,North,Detroit,In-Store,Government,CUST-7149
ORD-10052,2024-07-22,Jul,7,Q3,Clothing,Casual Sneakers,65.08,4,0.05,247.3,97.24,North,Detroit,Wholesale,Consumer,CUST-2983
ORD-10053,2024-10-16,Oct,10,Q4,Office Supplies,Label Maker,50.31,3,0.05,143.38,76.39,East,New York,Wholesale,Consumer,CUST-2729
ORD-10054,2024-08-09,Aug,8,Q3,Clothing,Formal Tie,51.1,2,0.0,102.2,52.3,South,Atlanta,In-Store,Government,CUST-8921
ORD-10055,2024-08-26,Aug,8,Q3,Furniture,Monitor Stand,96.4,3,0.0,289.2,141.31,North,Detroit,Wholesale,Enterprise,CUST-8613
ORD-10056,2024-10-18,Oct,10,Q4,Office Supplies,Whiteboard 4x3,95.91,2,0.0,191.82,89.91,West,LA,Online,SMB,CUST-5581
ORD-10057,2024-11-01,Nov,11,Q4,Office Supplies,Paper Shredder,109.02,9,0.05,932.12,468.14,South,Atlanta,In-Store,Consumer,CUST-8800
ORD-10058,2024-11-26,Nov,11,Q4,Office Supplies,Binder Set,37.03,3,0.0,111.09,54.95,South,Atlanta,In-Store,SMB,CUST-9698
ORD-10059,2024-06-25,Jun,6,Q2,Furniture,Monitor Stand,93.03,7,0.0,651.21,284.29,East,Boston,Online,Consumer,CUST-6169
ORD-10060,2024-03-02,Mar,3,Q1,Office Supplies,Sticky Notes Bulk,18.83,3,0.1,50.84,24.45,East,New York,Wholesale,SMB,CUST-6912
ORD-10061,2024-04-01,Apr,4,Q2,Technology,Mechanical Keyboard,113.69,1,0.2,90.95,37.44,South,Atlanta,Online,Enterprise,CUST-5658
ORD-10062,2024-08-28,Aug,8,Q3,Furniture,Bookshelf 5-Tier,105.59,6,0.0,633.54,199.4,West,LA,Wholesale,SMB,CUST-2213
ORD-10063,2024-10-22,Oct,10,Q4,Office Supplies,Notebook Pack,14.58,1,0.1,13.12,4.1,North,Chicago,Online,Consumer,CUST-4697
ORD-10064,2024-09-24,Sep,9,Q3,Furniture,Filing Cabinet,193.6,6,0.05,1103.52,488.63,North,Chicago,Direct Sales,Enterprise,CUST-4457
ORD-10065,2024-05-15,May,5,Q2,Office Supplies,Sticky Notes Bulk,19.8,2,0.05,37.62,19.22,West,Seattle,In-Store,SMB,CUST-1534
ORD-10066,2024-04-28,Apr,4,Q2,Technology,Webcam HD,108.21,4,0.0,432.84,163.68,East,New York,Online,SMB,CUST-3441
ORD-10067,2024-05-16,May,5,Q2,Office Supplies,Ballpoint Pens (24pk),8.6,3,0.1,23.22,9.32,East,Boston,Online,Consumer,CUST-7594
ORD-10068,2024-05-19,May,5,Q2,Furniture,Filing Cabinet,214.66,5,0.05,1019.63,334.08,East,Boston,Online,Enterprise,CUST-1339
ORD-10069,2024-12-10,Dec,12,Q4,Office Supplies,Notebook Pack,24.97,12,0.0,299.64,125.93,West,Seattle,Online,SMB,CUST-9056
ORD-10070,2024-02-16,Feb,2,Q1,Furniture,Filing Cabinet,199.0,3,0.05,567.15,190.32,East,Boston,In-Store,SMB,CUST-7561
ORD-10071,2024-10-08,Oct,10,Q4,Technology,Wireless Headphones,116.74,1,0.0,116.74,35.89,West,LA,In-Store,SMB,CUST-7770
ORD-10072,2024-01-28,Jan,1,Q1,Technology,Smart Speaker,111.26,2,0.0,222.52,97.8,North,Chicago,Online,Enterprise,CUST-5719
ORD-10073,2024-08-12,Aug,8,Q3,Clothing,Wool Sweater,78.71,1,0.2,62.97,25.05,South,Houston,Online,Enterprise,CUST-7684
ORD-10074,2024-02-17,Feb,2,Q1,Technology,Wireless Headphones,134.37,1,0.0,134.37,45.95,West,Seattle,In-Store,SMB,CUST-8905
ORD-10075,2024-08-29,Aug,8,Q3,Technology,Mechanical Keyboard,123.52,2,0.15,209.98,88.81,South,Houston,Online,Consumer,CUST-7798
ORD-10076,2024-06-23,Jun,6,Q2,Clothing,Leather Belt,35.69,4,0.0,142.76,52.61,West,LA,Online,SMB,CUST-6446
ORD-10077,2024-10-09,Oct,10,Q4,Office Supplies,Whiteboard 4x3,105.43,1,0.0,105.43,53.01,South,Atlanta,Online,Consumer,CUST-1715
ORD-10078,2024-06-11,Jun,6,Q2,Office Supplies,Whiteboard 4x3,99.89,6,0.05,569.37,196.33,South,Atlanta,Direct Sales,Enterprise,CUST-6439
ORD-10079,2024-02-21,Feb,2,Q1,Clothing,Wool Sweater,76.98,2,0.15,130.87,71.48,South,Atlanta,Wholesale,Government,CUST-2225
ORD-10080,2024-08-28,Aug,8,Q3,Office Supplies,Paper Shredder,89.47,1,0.05,85.0,32.94,East,Boston,Direct Sales,Consumer,CUST-8994
ORD-10081,2024-10-04,Oct,10,Q4,Technology,Wireless Headphones,107.17,4,0.05,407.25,194.73,South,Houston,Online,Enterprise,CUST-2646
ORD-10082,2024-08-15,Aug,8,Q3,Technology,Webcam HD,122.24,1,0.0,122.24,42.9,East,Boston,Online,Enterprise,CUST-9702
ORD-10083,2024-07-29,Jul,7,Q3,Office Supplies,Sticky Notes Bulk,18.4,7,0.0,128.8,42.8,South,Atlanta,Direct Sales,Enterprise,CUST-8555
